state,timepoint,bm,err,err_perc,mu,mu_error,mu_err_perc
HP_TR,4,1.5150223427258702,0.13799411799683547,0.0910838831251509,0.027692678349529546,0.008333417811673214,0.3009249486991129
HP_TR,24,2.218412591469902,0.21947599457921702,0.09893380312712434,0.01170375814141268,0.0017613485397970205,0.15049427017503458
HP_TR,48,2.597572067209032,0.17346278541878532,0.06677881534396189,0.0030849997571881934,0.0015612481190253364,0.5060772259017381
HP_TR,72,2.701514134060457,0.14385782498353125,0.05325081337527878,7.222695144506878e-4,7.067537708902062e-4,0.9785180694324586
HP_MO,4,1.4575844421343318,0.14561305198722765,0.09990025124994294,0.03945681284456799,0.00958250354009183,0.2428605568787356
HP_MO,24,2.4873399518768644,0.20687600986861138,0.08317158646228055,0.015540484052457422,0.0022266195839806035,0.143278650553263
HP_MO,48,3.0167593291135804,0.16404346278113108,0.05437737813487835,0.003244586846650297,0.001385313583256337,0.42696147421251224
HP_MO,72,3.1314969999816444,0.14317405757198995,0.04572064337689903,5.79775796493657e-4,4.8708752239778305e-4,0.8401308322002573
LP_TR,4,1.9198445784576093,0.19634250425948746,0.10226999959404409,0.024580919324007064,0.008125168505417113,0.3305477878315817
LP_TR,24,2.7459900216497037,0.31212700378789265,0.11366647414121944,0.011962622408750963,0.002222844091314566,0.1858157864857875
LP_TR,48,3.2731681992152613,0.2825119211107696,0.08631145847576717,0.003910661550547605,0.0016009721911456447,0.4093865374060464
LP_TR,72,3.455084497815034,0.23466310629286424,0.06791819605027408,0.0011321267436654476,9.711943903121616e-4,0.8578495259000412
LP_MO,4,2.0592411573205895,0.4649432921508627,0.2257837992883894,0.029731960804103476,0.018570070239357698,0.624582763367384
LP_MO,24,2.8662334950027515,0.47228311074763624,0.1647748208828963,0.00724858639540146,0.005868745872803749,0.8096400529249277
LP_MO,48,3.0917115240613082,0.2609355367687808,0.08439840998684535,9.666098368379374e-4,0.0023633614021382142,2.445000363196653
LP_MO,72,3.12207464704324,0.23962969691966923,0.07675335282153183,1.2067186401778491e-4,4.796706761432839e-4,3.975000138164675
